id,num_orders
1028232,121.0
1127204,54.0
1212707,135.0
1082698,96.0
1400926,68.0
1284113,216.0
1197966,258.0
1132739,204.0
1057981,42.0
1095932,96.0
1454421,204.0
1149765,96.0
1166964,366.0
1010949,393.0
1409575,513.0
1181616,13.0
1456020,162.0
1264395,499.0
1472931,28.0
1412015,122.0
1461229,68.0
1014564,393.0
1485914,41.0
1345389,80.0
1006833,149.0
1174921,26.0
1175393,15.0
1152412,42.0
1497398,42.0
1363486,28.0
1366766,26.0
1192413,14.0
1319547,162.0
1337684,148.0
1479766,134.0
1460444,1958.0
1139730,391.0
1115056,351.0
1335827,176.0
1385333,634.0
1096323,782.0
1230693,1012.0
1027016,162.0
1181520,109.0
1306234,204.0
1271440,1053.0
1269834,485.0
1176823,958.0
1193098,121.0
1034878,27.0
1010243,189.0
1451807,27.0
1016845,67.0
1198021,217.0
1413802,122.0
1231223,81.0
1274226,796.0
1425142,717.0
1211593,269.0
1419190,68.0
1180223,40.0
1194932,217.0
1323477,148.0
1371595,135.0
1171521,177.0
1052384,256.0
1060921,122.0
1261811,123.0
1246502,189.0
1497466,445.0
1232717,15.0
1136112,27.0
1196334,473.0
1349533,242.0
1463406,338.0
1447686,229.0
1336105,149.0
1012855,728.0
1180646,460.0
1062490,284.0
1098228,1621.0
1101375,730.0
1400016,447.0
1439889,122.0
1408468,69.0
1044490,82.0
1290002,769.0
1190633,797.0
1040430,1202.0
1049366,188.0
1224120,136.0
1293810,229.0
1197335,217.0
1323989,567.0
1129467,998.0
1229328,42.0
1164395,67.0
1217722,107.0
1171266,67.0
1024905,68.0
1343027,107.0
1141892,109.0
1302404,15.0
1170447,432.0
1140772,809.0
1103484,352.0
1387134,41.0
1117711,13.0
1472121,67.0
1289523,298.0
1091114,392.0
1043572,620.0
1103283,162.0
1265051,134.0
1168741,94.0
1052776,148.0
1206564,216.0
1302153,270.0
1083754,53.0
1097952,53.0
1251605,41.0
1333032,339.0
1086936,229.0
1088412,161.0
1236400,67.0
